id,description,organization
1,Alcohol Reference,1
2,Animated Blood,1
3,Blood,1
4,Blood and Gore,1
5,Cartoon Violence,1
6,Comic Mischief,1
7,Crude Humor,1
8,Drug Reference,1
9,Fantasy Violence,1
10,Intense Violence,1
11,Language,1
12,Lyrics,1
13,Mature Humor,1
14,Nudity,1
15,Partial Nudity,1
16,Real Gambling,1
17,Sexual Content,1
18,Sexual Themes,1
19,Sexual Violence,1
20,Simulated Gambling,1
21,Strong Language,1
22,Strong Lyrics,1
23,Strong Sexual Content,1
24,Suggestive Themes,1
25,Tobacco Reference,1
26,Use of Alcohol,1
27,Use of Drugs,1
28,Use of Tobacco,1
29,Violence,1
30,Violent References,1
31,Animated Violence,1
32,Mild Language,1
33,Mild Violence,1
34,Use of Drugs and Alcohol,1
35,Drug and Alcohol Reference,1
36,Mild Suggestive Themes,1
37,Mild Cartoon Violence,1
38,Mild Blood,1
39,Realistic Blood and Gore,1
40,Realistic Violence,1
41,Alcohol and Tobacco Reference,1
42,Mature Sexual Themes,1
43,Mild Animated Violence,1
44,Mild Sexual Themes,1
45,Use of Alcohol and Tobacco,1
46,Animated Blood and Gore,1
47,Mild Fantasy Violence,1
48,Mild Lyrics,1
49,Realistic Blood,1
50,Violence,2
51,Sex,2
52,Drugs,2
53,Fear,2
54,Discrimination,2
55,Bad Language,2
56,Gambling,2
57,Online Gameplay,2
58,In-Game Purchases,2
59,Love,3
60,Sexual Content,3
61,Violence,3
62,Horror,3
63,Drinking/Smoking,3
64,Gambling,3
65,Crime,3
66,Controlled substances,3
67,Languages and others,3
68,Sexuality,5
69,Violence,5
70,"Fear, Horror, Threatening",5
71,Language,5
72,"Alcohol, Tobacco, Drug",5
73,"Crime, Anti-Social",5
74,Gambling,5
75,Violência (Violence),6
76,Violência Extrema (Extreme Violence),6
77,Conteúdo Sexual (Sexual Content),6
78,Nudez (Nudity),6
79,Sexo (Sex),6
80,Sexo Explícito (Explicit Sex),6
81,Drogas (Drugs),6
82,Drogas Lícitas (Legal Drugs),6
83,Drogas Ilícitas (Illegal Drugs),6
84,Linguagem Imprópria (Inappropriate Language),6
85,Atos Criminosos (Criminal Acts),6
86,In-Game Purchases,1
87,In-Game Purchases (Includes Random Items),1
88,Users Interact,1
89,Shares Location,1
90,Unrestricted Internet,1
91,Online Interactions Not Rated by the ESRB,1
92,Violência Fantasiosa (Fantasy Violence),6
93,Conteúdo Impactante (Shocking Content),6
94,Temas Sensíveis (Sensitive Themes),6
95,Procedimentos Médicos (Medical Procedures),6
96,Medo (Fear),6
97,Gambling Themes,1
